TimeStamp,MaxX,MaxY,MaxMagnitude,MinMagnitude,AverageMagnitude,DiffMagnitude,MaxTiltAngleX,AverageTiltAngleX,MinTiltAngleX,MaxZ,MaxTiltAngleY,MinTiltAngleY,AverageTiltAngleY,MaxTiltAngleZ,MinTiltAngleZ,AverageTiltAngleZ,MinX,MinY,MinZ,AverageX,AverageY,AverageZ,Situation,Activity
9102016,-127,486,526.1492184,506.0849731,22.71094273,20.06424528,-0.253657404,-0.267624979,-0.282719731,151,1.186917435,1.161581837,1.174959572,0.297456108,0.26984115,0.28435427,-145,467,137,-136.3943662,475.9014085,144.6901408,휴식,앉아 있음
9102016,-121,485,523.6983865,506.7721381,22.69551174,16.92624833,-0.233848485,-0.250218137,-0.281091386,154,1.19323558,1.157068226,1.18045792,0.307690187,0.280658847,0.293002705,-143,467,143,-127.5394737,476.3421053,148.7631579,휴식,앉아 있음
9102016,-121,487,523.2083715,505.1475032,22.68734612,18.06086828,-0.237694866,-0.252036629,-0.263545899,156,1.207266472,1.164898687,1.181748984,0.308683058,0.266748767,0.289768721,-135,467,136,-128.3544304,476.2405063,147.0506329,휴식,앉아 있음
9102016,-109,484,520.5314592,506.8106155,22.6801658,13.72084367,-0.213403368,-0.236956239,-0.257011539,156,1.20182251,1.170434102,1.184395257,0.308836495,0.287467471,0.299083012,-132,470,145,-120.75,476.4558824,151.5588235,휴식,앉아 있음
9102016,-110,490,526.6545357,500.1299831,22.67440353,26.52455262,-0.215621585,-0.224654079,-0.23201626,157,1.207827737,1.185208735,1.195751182,0.30924145,0.283363329,0.295024134,-119,464,144,-114.530303,478.3939394,149.4848485,휴식,앉아 있음
9102016,-99,488,523.2513736,506.0296434,22.66459509,17.22173022,-0.194488082,-0.21163027,-0.235095877,152,1.222752117,1.1906082,1.208906928,0.298900973,0.275380215,0.28890736,-121,471,140,-107.9027778,480.4027778,146.3472222,휴식,앉아 있음
9102016,-96,488,520.1980392,507.473152,22.65747833,12.72488721,-0.188630587,-0.200955929,-0.209076486,150,1.232825889,1.209828803,1.216636131,0.298808843,0.276986068,0.287516849,-107,475,140,-102.4714286,481.5,145.5714286,휴식,앉아 있음
9102016,-10,520,551.1342849,472.0391933,22.59272011,79.09509162,-0.019552008,-0.084553317,-0.196948272,215,1.259039561,1.136473919,1.178258137,0.433821534,0.24192066,0.375907533,-107,433,131,-43.31578947,471.5394737,186.6842105,휴식,앉아 있음
9102016,0,472,514.4220058,498.8967829,22.54180791,15.52522284,0,-0.012523059,-0.033661278,213,1.178901715,1.138669602,1.156266987,0.431973649,0.391758828,0.414239183,-17,457,195,-6.367088608,465.0759494,204.5063291,휴식,앉아 있음
9102016,6,475,512.3934035,497.4846731,22.52520228,14.90873042,0.01184363,-0.002886244,-0.015868904,199,1.20088256,1.168994374,1.185081138,0.401776448,0.369861673,0.385664453,-8,461,183,-1.461538462,470.0923077,190.8615385,휴식,앉아 있음
